event_name,Lamp5,Pvalb,Serpinf1,Sncg,Sst,Vip,cpm,fi_fit_slope,hero_adapt,hero_avg_rate,hero_first_isi,hero_isi_cv,hero_latency,hero_mean_isi,hero_median_isi,hero_stim_amp,input_resistance,rheo_fast_trough_t,rheo_fast_trough_v,rheo_peak_t,rheo_peak_v,rheo_threshold_v,rheo_trough_t,rheo_trough_v,rheo_upstroke_downstroke_ratio,rheo_width,rheobase_i,sag,soma_depth,subclass,tau,v_baseline,vm_for_sag
Trpm7_2_126641284_-,0.07949943529186289,0.36774807137687887,0.7239801209468582,0.7796635487419253,0.20860401398324918,0.06406697412857484,0.801868043125932,0.45346231296366774,0.6702186100414785,0.5963191017655385,0.20426086861747783,0.8368163558794108,0.736574709495513,0.8667009656142445,0.7508197238012181,0.7999316396298696,0.8428234277692855,0.3980305495362494,0.10486504679663075,0.4126969273494034,0.3620673811960625,0.391325076966353,0.40867538863892855,0.14219647437936025,0.021819577662456124,0.025209923013217072,0.810346217684803,0.9867505658731055,0.9062361127629461,0.0002090490609801925,0.385749004666744,0.978056874939123,0.9196918517794404
Gabra5_7_57157887_-,0.00943418303049115,0.9790306354192452,0.48034432397180743,0.801016812445358,0.20369537442074354,0.46749255663761435,0.6816278535047929,0.8796522207984925,0.01131379893759138,0.8707260945889472,0.9208275285180602,0.3230665996830723,0.4499644136803366,0.8452931438481567,0.9081896098106716,0.7733246572815929,0.7589855778519318,0.4412411858617898,0.8214257053145058,0.45043333783991163,0.9439658064607479,0.39251116751662013,0.3473044036782096,0.8328301624495464,0.35411628413192814,0.1568374009024449,0.7857269193038042,0.5376787159971272,0.6675165120128885,0.0003584152822070959,0.3932155234818907,0.9153011143872362,0.7050596293252962
Kcnn2_18_45788264_+,0.00813378663826606,0.9647714062715828,0.9393331686158923,0.3628578723381691,0.8894151621338187,2.365831418557124e-06,0.054373748305384655,0.8211025324377722,0.3876384187129654,0.6378347386916111,0.7069215444785375,0.13285089086458224,0.8639432317995064,0.8786635712797145,0.9193870582127976,0.7613846072534616,0.14816903038611112,0.2238616176631876,0.1722327411146093,0.23213580461262706,0.5632685935802455,0.886222925151213,0.34997026700077905,0.16712355803935747,0.874149235025905,0.2915527325230809,0.7077851432427393,0.9668401912114962,0.7990387361147567,1.5933967542773113e-08,0.33972486695696763,0.7082527595523339,0.48236036703200724
Gria1_11_56905979_+,0.5205327773531458,0.945786892435409,0.9750393007746151,0.5085756425284552,0.040992163825518825,0.0831638397399202,4.1913413578974385e-08,0.8623662708609366,0.26584288813055407,0.6140877562385569,0.8944085337861682,0.9679945387656637,0.9496977314506694,0.8456115102108608,0.9573609530643274,0.9643195819119739,0.9657924452174729,0.9723304307063932,0.639547105908968,0.9674758177689649,0.8946143308254392,0.9595577246619488,0.6447807414063408,0.652893184469993,0.3634820341060687,0.4216523246841751,0.945532549882881,0.07977979808223992,0.9347738690816314,0.003258007799446028,0.09060563787537325,0.7228151163487656,0.8047018256031574
Htr3a_9_48811291_-,0.9505240799946981,1.0,0.34405046451823357,0.005280341426803583,0.8788831292184239,0.021132644751362523,0.06593814210949656,0.8428234277692855,0.8616473557526017,0.6570091686183809,0.8845549062191128,0.6761829148021388,0.8064663277745632,0.7619819068138322,0.8100329688235517,0.9790306354192452,0.586462955798376,0.5509966320993991,0.7768972348770128,0.5569969906645761,0.945440830921501,0.8636374738035875,0.9873242198100436,0.7091238720595612,0.5413525183132265,0.7837036043504789,0.9604690044661676,0.3989939732311798,0.9572145315031593,0.0011539114999475294,0.2561872247491386,0.9087843104924515,0.6954288164511128
Gria2_3_80609964_-,0.823437964735474,0.07354908720224637,0.6818031996827665,0.9532876170821887,0.2910415982392569,0.9734054345450308,0.16288677767987345,0.32229350119594635,0.5475993368886951,0.4564702034722889,0.316046635518499,0.9925577274833751,0.9238893220362691,0.27540427659422884,0.04595041362649226,0.05087873971786193,0.2029409950805087,0.9689657048973096,0.6004163114005279,0.9680864101411196,0.1280878902553045,0.9109328732094869,0.8771707075261702,0.6107990978013356,0.17355773839688463,0.3361100670711319,0.05835269304281657,0.849196997353248,0.814756841801653,0.03030829065222503,0.024287709685463895,0.8507157868431592,0.2947362799628561
Scn8a_15_100834151_+,0.05248002113074379,0.6808173053501575,0.8116609343696957,0.9856409013833222,0.6380989640524005,0.7070672477980973,0.5764910543037312,0.623237415419983,0.9757863212898128,0.7271316184459621,0.04293891950691514,0.7664525143161447,0.9760672267542425,0.062258959575785755,0.3027864572173563,0.9823753895818008,0.7244992639547376,0.19485918189379467,0.8295084982139723,0.20435864235013218,0.9674317577029796,0.9350028350968461,0.6171013792737908,0.820563301904408,0.057997591052533395,0.028222651223602766,0.9754985947505869,0.7627216320131213,0.972829454032263,0.018140946774573164,0.5422629253161738,0.5101503568621855,0.4532723327697932
Gria4_9_4432888_-,0.5996424677977279,0.6375936535162701,0.6797943451468305,0.4073271344959792,0.007832794262535582,0.5397761526563101,0.05690146716926011,0.7074896926236539,0.12066876612078191,0.6907037656856353,0.7004502915491271,1.0,0.8409164391153291,0.9990245161161052,0.9303123755919587,0.41136806014821276,0.22450935944114925,0.7863661718060122,0.12717660145766918,0.7946088849064636,0.6771242548842524,0.10003529832695478,0.832660526095918,0.17821349418585863,0.8312491084684553,0.5647065464060247,0.4493664329513208,0.026120729723901854,0.920924283902373,0.001238491700355891,0.2585984030032606,0.9798521677030216,0.5410155534383367
Pkd2_5_104642758_+,0.7050518515223455,0.2871348599009115,0.8514453282456014,0.39007837743868823,0.8216454412181413,0.040992163825518825,0.6402179810052381,0.7387870917877748,0.827082781908847,0.8989789874340459,0.9610076033844219,0.816802742425036,0.49313924616189003,0.9615454736928014,0.9206174254874476,0.4518312213271544,0.5239477460782563,0.7050970489890876,0.9519416427415939,0.6989202617731562,0.2056433639658741,0.8998522537286257,0.9266069080987047,0.9641826030043871,0.48167292241651116,0.6432417802300375,0.4536864561797416,0.8350913792430124,0.7671012941339935,0.0025259501900214533,0.5857500943682262,0.9876753743706136,0.24273297756212273
Asic1_15_99592574_+,0.84130043421166,0.7946279511644274,0.7922093602870318,0.13226291240350363,0.0002766798583183403,0.42465903692646484,0.3671499572187672,0.2776198667449859,0.7265454695193988,0.38152811672467546,0.9005535406438926,0.9473960249376453,0.3020182617690732,0.9505240799946981,0.7873532426502865,0.9806941394039892,0.7909112571531728,0.7712409218092202,0.21372174443725633,0.7724554320731569,0.5810510136458263,0.7077851432427393,0.9242211171439706,0.30149794103592464,0.7358114702744822,0.9609148915638642,0.9995250164341907,0.6563178799680615,0.7624678128312187,2.029109944685113e-05,0.26490428464004573,0.8238829294860964,0.7702326714520802
